Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,Mossbauer Internal
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,447
Lower Discriminator:,394
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,April 08, 2025, 05:54:40
End Time:,April 08, 2025, 10:01:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,351,355,58811,227,0,352

Channel Data:
Channel,Energy,Counts
0,,11726
1,,11881
2,,11984
3,,11543
4,,11660
5,,11777
6,,11706
7,,11882
8,,11941
9,,11841
10,,11758
11,,11907
12,,11818
13,,11858
14,,11658
15,,11798
16,,11710
17,,11878
18,,12005
19,,11682
20,,11781
21,,11916
22,,11855
23,,11658
24,,11725
25,,11973
26,,11889
27,,11974
28,,11739
29,,11689
30,,11918
31,,11659
32,,11686
33,,11721
34,,11672
35,,11713
36,,11879
37,,11751
38,,11777
39,,11764
40,,11854
41,,11832
42,,11861
43,,11901
44,,11632
45,,11553
46,,11777
47,,11967
48,,11648
49,,11961
50,,12024
51,,12028
52,,11779
53,,11743
54,,11713
55,,11820
56,,11697
57,,11760
58,,11648
59,,11717
60,,11830
61,,11663
62,,11798
63,,11924
64,,11685
65,,11739
66,,11743
67,,11885
68,,11861
69,,11761
70,,11994
71,,11857
72,,11937
73,,11905
74,,11714
75,,11700
76,,11895
77,,11780
78,,11673
79,,11605
80,,11909
81,,11804
82,,11887
83,,11734
84,,11841
85,,11780
86,,11767
87,,11653
88,,11904
89,,11685
90,,11858
91,,11698
92,,11941
93,,11564
94,,11730
95,,11794
96,,11750
97,,11923
98,,11719
99,,11547
100,,11755
101,,11604
102,,11824
103,,11737
104,,11299
105,,11321
106,,11372
107,,11119
108,,11111
109,,11042
110,,11101
111,,11028
112,,11048
113,,11359
114,,11644
115,,11532
116,,11429
117,,11521
118,,11873
119,,11508
120,,11682
121,,11840
122,,11790
123,,11588
124,,11669
125,,11838
126,,11716
127,,11835
128,,11532
129,,11875
130,,11794
131,,11730
132,,11657
133,,11893
134,,11851
135,,11915
136,,11610
137,,11815
138,,11731
139,,12019
140,,11759
141,,11823
142,,11633
143,,11624
144,,11737
145,,11644
146,,11892
147,,11766
148,,12055
149,,11969
150,,11779
151,,11955
152,,11980
153,,11619
154,,11749
155,,11681
156,,11676
157,,11814
158,,11747
159,,11599
160,,11386
161,,11358
162,,11256
163,,11119
164,,11153
165,,11267
166,,11485
167,,11669
168,,11600
169,,11560
170,,11494
171,,11824
172,,11693
173,,11557
174,,11707
175,,11559
176,,11772
177,,11510
178,,11803
179,,11836
180,,11765
181,,11939
182,,11604
183,,11673
184,,11977
185,,12035
186,,12046
187,,11647
188,,11586
189,,11855
190,,11911
191,,11815
192,,11713
193,,11735
194,,11892
195,,11863
196,,11940
197,,11941
198,,11742
199,,11892
200,,11876
201,,11762
202,,11982
203,,11798
204,,11692
205,,11808
206,,11756
207,,11991
208,,11668
209,,11623
210,,11672
211,,11617
212,,11461
213,,11726
214,,11793
215,,11561
216,,11344
217,,11368
218,,11340
219,,11703
220,,11509
221,,11696
222,,11618
223,,11654
224,,11613
225,,11790
226,,11685
227,,11716
228,,11631
229,,11751
230,,11797
231,,11720
232,,11911
233,,11725
234,,11474
235,,11799
236,,11955
237,,12070
238,,12064
239,,11779
240,,11595
241,,11813
242,,11668
243,,11819
244,,11662
245,,11854
246,,11713
247,,11655
248,,11788
249,,11709
250,,11777
251,,11761
252,,11906
253,,11608
254,,11925
255,,11488
256,,11604
257,,11321
258,,11303
259,,11557
260,,11283
261,,11666
262,,11519
263,,11639
264,,11783
265,,11846
266,,11832
267,,11705
268,,11782
269,,11758
270,,11892
271,,11947
272,,11864
273,,11639
274,,11817
275,,12013
276,,11754
277,,11954
278,,11803
279,,11869
280,,11785
281,,11762
282,,11883
283,,11734
284,,11858
285,,11901
286,,11928
287,,11747
288,,11830
289,,11877
290,,11705
291,,11788
292,,11823
293,,11752
294,,11911
295,,11721
296,,11959
297,,11714
298,,12031
299,,11905
300,,11728
301,,11791
302,,11818
303,,11873
304,,11788
305,,11565
306,,11725
307,,11858
308,,11621
309,,11592
310,,11659
311,,11658
312,,11337
313,,11124
314,,11052
315,,11271
316,,11215
317,,11512
318,,11660
319,,11547
320,,11657
321,,11591
322,,11768
323,,11850
324,,11573
325,,11709
326,,11892
327,,11895
328,,11706
329,,11623
330,,11821
331,,11752
332,,11704
333,,11877
334,,11830
335,,11671
336,,11712
337,,11846
338,,11734
339,,11704
340,,11764
341,,11755
342,,11678
343,,11745
344,,11808
345,,11802
346,,11600
347,,11722
348,,11873
349,,11765
350,,11789
351,,11833
352,,11803
353,,11849
354,,11555
355,,11771
356,,11553
357,,11536
358,,11638
359,,11680
360,,11551
361,,11349
362,,11698
363,,11393
364,,11487
365,,11189
366,,11111
367,,10828
368,,10857
369,,10961
370,,11190
371,,11337
372,,11501
373,,11400
374,,11584
375,,11667
376,,11927
377,,11866
378,,11589
379,,11764
380,,11563
381,,11857
382,,11858
383,,11881
384,,11898
385,,11837
386,,11754
387,,11698
388,,11789
389,,11826
390,,11627
391,,11758
392,,11801
393,,11670
394,,11722
395,,11863
396,,11808
397,,11684
398,,11885
399,,11781
400,,11887
401,,11700
402,,11685
403,,12014
404,,11683
405,,11581
406,,11753
407,,11657
408,,11685
409,,11951
410,,11844
411,,11833
412,,11742
413,,11818
414,,11701
415,,11821
416,,11606
417,,11638
418,,11887
419,,11735
420,,11730
421,,11868
422,,11797
423,,11889
424,,11830
425,,11731
426,,11949
427,,11767
428,,11820
429,,11768
430,,11814
431,,11892
432,,11759
433,,11784
434,,11602
435,,11827
436,,11896
437,,11801
438,,11719
439,,11649
440,,11807
441,,11617
442,,11805
443,,11989
444,,12124
445,,11969
446,,11816
447,,11894
448,,11715
449,,11504
450,,11693
451,,11888
452,,11728
453,,11820
454,,11829
455,,11873
456,,11782
457,,11637
458,,11644
459,,11784
460,,11749
461,,11874
462,,11723
463,,11768
464,,11800
465,,11809
466,,11868
467,,11716
468,,11628
469,,11925
470,,11836
471,,11605
472,,11851
473,,11684
474,,11982
475,,11622
476,,11799
477,,12048
478,,11614
479,,11916
480,,11703
481,,11686
482,,11634
483,,11644
484,,11615
485,,11905
486,,11607
487,,11852
488,,11834
489,,11718
490,,11691
491,,11885
492,,11659
493,,11841
494,,11786
495,,11833
496,,11889
497,,11687
498,,11762
499,,11819
500,,11844
501,,11673
502,,11836
503,,11844
504,,11725
505,,11877
506,,11646
507,,11690
508,,11714
509,,11942
510,,11591
511,,11836
512,,11676
513,,11652
514,,11643
515,,11784
516,,11810
517,,11815
518,,11896
519,,11686
520,,11668
521,,11754
522,,11573
523,,11870
524,,11924
525,,11811
526,,11809
527,,11650
528,,11727
529,,11936
530,,11811
531,,11699
532,,11809
533,,11558
534,,11819
535,,11729
536,,11640
537,,11844
538,,11705
539,,11468
540,,11859
541,,11893
542,,11754
543,,11756
544,,11683
545,,11756
546,,11430
547,,11624
548,,11743
549,,11875
550,,11796
551,,11755
552,,11669
553,,11720
554,,11724
555,,11753
556,,11896
557,,11910
558,,11616
559,,11829
560,,11680
561,,11843
562,,11847
563,,11649
564,,11776
565,,11520
566,,11832
567,,11885
568,,11866
569,,11920
570,,11808
571,,11767
572,,11708
573,,11805
574,,11651
