Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,15.42
Elapsed Live Time:,11.59
Start Time:,April 08, 2025, 03:11:35
End Time:,April 08, 2025, 03:11:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,351,355,1098,48,0,353

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,2
20,,9
21,,5
22,,2
23,,4
24,,1
25,,3
26,,5
27,,3
28,,2
29,,5
30,,4
31,,2
32,,0
33,,2
34,,2
35,,1
36,,1
37,,2
38,,1
39,,1
40,,2
41,,5
42,,3
43,,6
44,,7
45,,12
46,,45
47,,384
48,,491
49,,561
50,,481
51,,518
52,,463
53,,483
54,,474
55,,450
56,,470
57,,492
58,,438
59,,425
60,,420
61,,477
62,,449
63,,456
64,,453
65,,435
66,,458
67,,399
68,,466
69,,370
70,,404
71,,404
72,,405
73,,448
74,,387
75,,428
76,,416
77,,415
78,,417
79,,443
80,,408
81,,410
82,,379
83,,417
84,,394
85,,394
86,,406
87,,393
88,,404
89,,385
90,,405
91,,382
92,,372
93,,387
94,,383
95,,400
96,,411
97,,371
98,,404
99,,391
100,,341
101,,379
102,,392
103,,382
104,,386
105,,366
106,,342
107,,373
108,,368
109,,391
110,,392
111,,367
112,,378
113,,314
114,,333
115,,390
116,,386
117,,349
118,,364
119,,379
120,,362
121,,331
122,,338
123,,360
124,,396
125,,346
126,,409
127,,373
128,,368
129,,353
130,,371
131,,347
132,,331
133,,367
134,,316
135,,355
136,,366
137,,422
138,,356
139,,375
140,,343
141,,360
142,,324
143,,383
144,,407
145,,347
146,,368
147,,419
148,,361
149,,423
150,,363
151,,369
152,,358
153,,350
154,,394
155,,366
156,,377
157,,367
158,,365
159,,374
160,,400
161,,389
162,,401
163,,351
164,,367
165,,390
166,,395
167,,384
168,,390
169,,401
170,,390
171,,369
172,,426
173,,391
174,,378
175,,401
176,,380
177,,379
178,,406
179,,383
180,,401
181,,404
182,,429
183,,451
184,,436
185,,423
186,,417
187,,396
188,,384
189,,373
190,,342
191,,371
192,,375
193,,383
194,,389
195,,385
196,,369
197,,340
198,,371
199,,350
200,,372
201,,361
202,,346
203,,378
204,,378
205,,336
206,,347
207,,300
208,,315
209,,317
210,,323
211,,334
212,,341
213,,322
214,,331
215,,318
216,,334
217,,307
218,,283
219,,309
220,,317
221,,322
222,,308
223,,284
224,,309
225,,302
226,,312
227,,308
228,,269
229,,287
230,,316
231,,320
232,,281
233,,277
234,,268
235,,242
236,,273
237,,289
238,,231
239,,273
240,,256
241,,270
242,,260
243,,271
244,,253
245,,273
246,,250
247,,265
248,,243
249,,245
250,,281
251,,213
252,,219
253,,245
254,,248
255,,238
256,,265
257,,254
258,,232
259,,243
260,,240
261,,231
262,,239
263,,223
264,,231
265,,224
266,,221
267,,243
268,,235
269,,236
270,,243
271,,244
272,,229
273,,248
274,,234
275,,209
276,,220
277,,242
278,,239
279,,236
280,,233
281,,231
282,,264
283,,214
284,,207
285,,212
286,,222
287,,246
288,,214
289,,206
290,,236
291,,224
292,,251
293,,213
294,,219
295,,214
296,,236
297,,228
298,,254
299,,220
300,,220
301,,196
302,,222
303,,245
304,,214
305,,243
306,,221
307,,221
308,,216
309,,220
310,,226
311,,230
312,,239
313,,186
314,,228
315,,212
316,,235
317,,215
318,,206
319,,213
320,,211
321,,218
322,,206
323,,245
324,,259
325,,210
326,,214
327,,239
328,,197
329,,227
330,,236
331,,204
332,,188
333,,210
334,,213
335,,214
336,,232
337,,243
338,,191
339,,207
340,,196
341,,214
342,,207
343,,196
344,,220
345,,211
346,,193
347,,186
348,,206
349,,202
350,,215
351,,215
352,,194
353,,241
354,,232
355,,216
356,,190
357,,210
358,,209
359,,224
360,,183
361,,197
362,,235
363,,216
364,,207
365,,203
366,,206
367,,204
368,,207
369,,207
370,,210
371,,204
372,,197
373,,179
