Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,15.59
Elapsed Live Time:,11.65
Start Time:,April 08, 2025, 03:13:08
End Time:,April 08, 2025, 03:13:24
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,351,355,1022,-33,0,352

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,2
19,,3
20,,10
21,,5
22,,1
23,,8
24,,5
25,,3
26,,3
27,,2
28,,8
29,,4
30,,7
31,,4
32,,4
33,,2
34,,1
35,,2
36,,3
37,,3
38,,4
39,,3
40,,1
41,,4
42,,9
43,,9
44,,12
45,,12
46,,64
47,,403
48,,569
49,,506
50,,480
51,,518
52,,502
53,,498
54,,505
55,,522
56,,517
57,,474
58,,472
59,,480
60,,496
61,,492
62,,486
63,,476
64,,501
65,,514
66,,466
67,,460
68,,459
69,,485
70,,445
71,,468
72,,472
73,,480
74,,472
75,,462
76,,455
77,,518
78,,484
79,,467
80,,430
81,,479
82,,464
83,,481
84,,510
85,,451
86,,481
87,,487
88,,506
89,,469
90,,473
91,,448
92,,455
93,,413
94,,449
95,,461
96,,430
97,,422
98,,485
99,,477
100,,461
101,,456
102,,458
103,,481
104,,474
105,,444
106,,430
107,,460
108,,390
109,,407
110,,435
111,,409
112,,453
113,,457
114,,458
115,,439
116,,427
117,,418
118,,439
119,,393
120,,466
121,,402
122,,425
123,,427
124,,424
125,,416
126,,400
127,,429
128,,413
129,,432
130,,423
131,,436
132,,410
133,,403
134,,429
135,,422
136,,391
137,,370
138,,389
139,,433
140,,430
141,,444
142,,423
143,,386
144,,366
145,,426
146,,439
147,,378
148,,440
149,,418
150,,422
151,,416
152,,455
153,,452
154,,422
155,,422
156,,410
157,,446
158,,461
159,,432
160,,423
161,,448
162,,445
163,,414
164,,414
165,,478
166,,481
167,,449
168,,470
169,,446
170,,473
171,,471
172,,481
173,,475
174,,483
175,,482
176,,465
177,,470
178,,463
179,,476
180,,507
181,,503
182,,520
183,,490
184,,479
185,,447
186,,472
187,,472
188,,481
189,,423
190,,474
191,,508
192,,455
193,,466
194,,467
195,,436
196,,448
197,,420
198,,417
199,,413
200,,454
201,,416
202,,409
203,,433
204,,419
205,,411
206,,418
207,,417
208,,365
209,,399
210,,385
211,,368
212,,354
213,,376
214,,337
215,,337
216,,363
217,,368
218,,349
219,,330
220,,321
221,,327
222,,354
223,,313
224,,317
225,,278
226,,300
227,,315
228,,309
229,,299
230,,304
231,,271
232,,285
233,,295
234,,283
235,,301
236,,265
237,,289
238,,300
239,,291
240,,232
241,,292
242,,272
243,,282
244,,237
245,,257
246,,262
247,,269
248,,272
249,,239
250,,266
251,,246
252,,256
253,,228
254,,230
255,,239
256,,227
257,,259
258,,221
259,,238
260,,235
261,,244
262,,235
263,,265
264,,254
265,,241
266,,236
267,,207
268,,269
269,,247
270,,237
271,,257
272,,210
273,,222
274,,257
275,,236
276,,251
277,,213
278,,240
279,,232
280,,257
281,,250
282,,221
283,,231
284,,255
285,,246
286,,216
287,,228
288,,237
289,,240
290,,210
291,,228
292,,208
293,,241
294,,253
295,,217
296,,235
297,,223
298,,231
299,,218
300,,216
301,,234
302,,249
303,,211
304,,233
305,,226
306,,235
307,,222
308,,225
309,,252
310,,232
311,,212
312,,241
313,,216
314,,202
315,,197
316,,210
317,,223
318,,221
319,,216
320,,229
321,,218
322,,211
323,,226
324,,235
325,,215
326,,211
327,,188
328,,248
329,,219
330,,189
331,,223
332,,221
333,,225
334,,200
335,,210
336,,235
337,,195
338,,206
339,,217
340,,212
341,,216
342,,204
343,,223
344,,208
345,,222
346,,213
347,,233
348,,203
349,,214
350,,221
351,,213
352,,199
353,,200
354,,208
355,,202
356,,223
357,,219
358,,178
359,,192
360,,195
361,,209
362,,196
363,,212
364,,202
365,,226
366,,237
367,,201
368,,234
369,,202
370,,187
371,,221
372,,214
373,,236
