Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,60.56
Elapsed Live Time:,45.6
Start Time:,April 08, 2025, 03:27:09
End Time:,April 08, 2025, 03:28:09
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,351,355,4141,-49,0,352

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,1
19,,20
20,,28
21,,24
22,,19
23,,12
24,,10
25,,8
26,,9
27,,12
28,,11
29,,13
30,,10
31,,11
32,,8
33,,11
34,,10
35,,8
36,,6
37,,10
38,,14
39,,9
40,,13
41,,14
42,,11
43,,22
44,,29
45,,63
46,,226
47,,1445
48,,2055
49,,1933
50,,1993
51,,1907
52,,1975
53,,1855
54,,1853
55,,1781
56,,1842
57,,1750
58,,1767
59,,1727
60,,1711
61,,1699
62,,1786
63,,1667
64,,1683
65,,1662
66,,1674
67,,1729
68,,1666
69,,1638
70,,1704
71,,1640
72,,1590
73,,1662
74,,1604
75,,1608
76,,1630
77,,1498
78,,1585
79,,1629
80,,1615
81,,1614
82,,1615
83,,1590
84,,1569
85,,1573
86,,1636
87,,1642
88,,1615
89,,1573
90,,1546
91,,1510
92,,1439
93,,1507
94,,1543
95,,1444
96,,1508
97,,1533
98,,1509
99,,1532
100,,1494
101,,1512
102,,1448
103,,1436
104,,1450
105,,1422
106,,1508
107,,1509
108,,1473
109,,1517
110,,1475
111,,1510
112,,1476
113,,1430
114,,1419
115,,1439
116,,1443
117,,1391
118,,1486
119,,1414
120,,1396
121,,1366
122,,1306
123,,1417
124,,1390
125,,1426
126,,1406
127,,1354
128,,1409
129,,1392
130,,1346
131,,1350
132,,1393
133,,1456
134,,1419
135,,1415
136,,1344
137,,1323
138,,1475
139,,1343
140,,1430
141,,1378
142,,1378
143,,1372
144,,1405
145,,1456
146,,1425
147,,1492
148,,1376
149,,1406
150,,1463
151,,1433
152,,1417
153,,1507
154,,1470
155,,1420
156,,1461
157,,1442
158,,1473
159,,1493
160,,1529
161,,1491
162,,1541
163,,1530
164,,1517
165,,1493
166,,1521
167,,1499
168,,1538
169,,1541
170,,1567
171,,1581
172,,1546
173,,1605
174,,1572
175,,1586
176,,1513
177,,1554
178,,1553
179,,1559
180,,1549
181,,1568
182,,1538
183,,1569
184,,1581
185,,1627
186,,1548
187,,1530
188,,1586
189,,1519
190,,1503
191,,1553
192,,1597
193,,1478
194,,1482
195,,1505
196,,1500
197,,1439
198,,1404
199,,1439
200,,1419
201,,1389
202,,1453
203,,1393
204,,1424
205,,1360
206,,1433
207,,1347
208,,1325
209,,1263
210,,1327
211,,1357
212,,1324
213,,1227
214,,1242
215,,1230
216,,1191
217,,1308
218,,1210
219,,1163
220,,1223
221,,1208
222,,1147
223,,1162
224,,1106
225,,1175
226,,1139
227,,1115
228,,1151
229,,1166
230,,1082
231,,1080
232,,1129
233,,1079
234,,1089
235,,1097
236,,1041
237,,1005
238,,1046
239,,1058
240,,1067
241,,1048
242,,1046
243,,1058
244,,1024
245,,1008
246,,981
247,,1014
248,,993
249,,1004
250,,981
251,,1022
252,,904
253,,952
254,,974
255,,982
256,,942
257,,993
258,,946
259,,906
260,,950
261,,956
262,,979
263,,911
264,,915
265,,951
266,,979
267,,914
268,,959
269,,952
270,,904
271,,914
272,,905
273,,885
274,,856
275,,946
276,,927
277,,913
278,,958
279,,862
280,,890
281,,899
282,,922
283,,952
284,,891
285,,932
286,,919
287,,897
288,,926
289,,871
290,,893
291,,902
292,,898
293,,859
294,,890
295,,888
296,,902
297,,862
298,,904
299,,922
300,,842
301,,890
302,,851
303,,875
304,,857
305,,872
306,,869
307,,808
308,,844
309,,816
310,,884
311,,875
312,,860
313,,909
314,,892
315,,802
316,,814
317,,827
318,,858
319,,838
320,,907
321,,848
322,,806
323,,855
324,,860
325,,810
326,,888
327,,837
328,,837
329,,803
330,,859
331,,811
332,,889
