Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,60.57
Elapsed Live Time:,45.31
Start Time:,April 08, 2025, 03:25:04
End Time:,April 08, 2025, 03:26:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,351,355,4123,18,0,352

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,2
19,,10
20,,31
21,,25
22,,19
23,,19
24,,9
25,,10
26,,17
27,,11
28,,12
29,,15
30,,10
31,,10
32,,16
33,,11
34,,15
35,,11
36,,13
37,,13
38,,12
39,,10
40,,12
41,,14
42,,14
43,,18
44,,34
45,,65
46,,250
47,,1441
48,,2089
49,,2143
50,,2068
51,,2022
52,,2014
53,,1879
54,,1953
55,,1958
56,,2037
57,,1884
58,,1887
59,,1834
60,,1865
61,,1860
62,,1894
63,,1956
64,,1951
65,,1861
66,,1855
67,,1825
68,,1853
69,,1863
70,,1820
71,,1873
72,,1857
73,,1811
74,,1759
75,,1813
76,,1916
77,,1905
78,,1804
79,,1768
80,,1794
81,,1801
82,,1810
83,,1853
84,,1851
85,,1843
86,,1789
87,,1726
88,,1806
89,,1825
90,,1735
91,,1825
92,,1748
93,,1791
94,,1822
95,,1810
96,,1765
97,,1760
98,,1784
99,,1768
100,,1692
101,,1676
102,,1786
103,,1703
104,,1681
105,,1733
106,,1669
107,,1691
108,,1701
109,,1712
110,,1671
111,,1581
112,,1715
113,,1647
114,,1649
115,,1637
116,,1672
117,,1664
118,,1649
119,,1590
120,,1625
121,,1598
122,,1668
123,,1548
124,,1601
125,,1637
126,,1665
127,,1574
128,,1621
129,,1610
130,,1657
131,,1588
132,,1634
133,,1594
134,,1656
135,,1630
136,,1533
137,,1583
138,,1612
139,,1577
140,,1616
141,,1697
142,,1621
143,,1632
144,,1664
145,,1585
146,,1691
147,,1591
148,,1696
149,,1705
150,,1598
151,,1663
152,,1697
153,,1669
154,,1675
155,,1714
156,,1641
157,,1658
158,,1739
159,,1701
160,,1716
161,,1828
162,,1779
163,,1781
164,,1843
165,,1788
166,,1746
167,,1797
168,,1735
169,,1836
170,,1786
171,,1887
172,,1830
173,,1848
174,,1793
175,,1795
176,,1832
177,,1901
178,,1883
179,,1881
180,,1892
181,,1791
182,,1759
183,,1813
184,,1850
185,,1764
186,,1782
187,,1863
188,,1835
189,,1755
190,,1771
191,,1784
192,,1718
193,,1712
194,,1731
195,,1776
196,,1689
197,,1647
198,,1703
199,,1613
200,,1577
201,,1576
202,,1653
203,,1595
204,,1499
205,,1571
206,,1478
207,,1532
208,,1554
209,,1465
210,,1525
211,,1517
212,,1440
213,,1376
214,,1459
215,,1346
216,,1326
217,,1394
218,,1329
219,,1311
220,,1280
221,,1246
222,,1195
223,,1305
224,,1229
225,,1216
226,,1210
227,,1187
228,,1200
229,,1137
230,,1225
231,,1094
232,,1130
233,,1126
234,,1102
235,,1039
236,,1085
237,,1139
238,,1116
239,,1033
240,,1025
241,,1009
242,,1032
243,,1031
244,,1017
245,,997
246,,1023
247,,971
248,,1032
249,,1009
250,,995
251,,1012
252,,1011
253,,956
254,,973
255,,978
256,,966
257,,970
258,,968
259,,951
260,,961
261,,996
262,,935
263,,951
264,,983
265,,966
266,,945
267,,926
268,,929
269,,959
270,,885
271,,914
272,,909
273,,944
274,,861
275,,886
276,,836
277,,857
278,,954
279,,920
280,,883
281,,922
282,,941
283,,947
284,,929
285,,899
286,,888
287,,900
288,,887
289,,901
290,,885
291,,858
292,,907
293,,867
294,,873
295,,903
296,,911
297,,942
298,,855
299,,843
300,,903
301,,904
302,,834
303,,910
304,,821
305,,869
306,,880
307,,894
308,,905
309,,841
310,,880
311,,864
312,,844
313,,848
314,,844
315,,892
316,,851
317,,879
318,,818
319,,828
320,,880
321,,852
322,,839
323,,864
324,,809
325,,856
326,,801
327,,829
328,,820
329,,885
330,,840
331,,839
332,,836
